,support,itemsets
5439,0.05,"frozenset({16, 1, 47})"
5440,0.05,"frozenset({16, 1, 49})"
5441,0.06,"frozenset({16, 1, 55})"
5442,0.07,"frozenset({16, 1, 58})"
5443,0.08,"frozenset({16, 1, 59})"
5444,0.05,"frozenset({16, 1, 61})"
5445,0.07,"frozenset({16, 1, 68})"
5446,0.05,"frozenset({16, 1, 69})"
5447,0.05,"frozenset({72, 1, 16})"
5448,0.05,"frozenset({16, 1, 77})"
5449,0.05,"frozenset({88, 1, 16})"
5450,0.06,"frozenset({96, 1, 16})"
5451,0.05,"frozenset({16, 1, 97})"
5452,0.05,"frozenset({16, 1, 98})"
5453,0.06,"frozenset({16, 1, 99})"
5454,0.06,"frozenset({1, 20, 17})"
5455,0.05,"frozenset({24, 1, 17})"
5456,0.06,"frozenset({1, 17, 25})"
5457,0.05,"frozenset({1, 27, 17})"
5458,0.05,"frozenset({1, 17, 31})"
5459,0.05,"frozenset({1, 37, 17})"
5460,0.06,"frozenset({38, 1, 17})"
5461,0.05,"frozenset({1, 17, 39})"
5462,0.05,"frozenset({1, 44, 17})"
5463,0.05,"frozenset({1, 17, 47})"
5464,0.07,"frozenset({1, 50, 17})"
5465,0.05,"frozenset({1, 17, 55})"
5466,0.05,"frozenset({1, 59, 17})"
5467,0.05,"frozenset({64, 1, 17})"
5468,0.05,"frozenset({1, 17, 70})"
5469,0.05,"frozenset({1, 17, 71})"
5470,0.06,"frozenset({1, 76, 17})"
5471,0.07,"frozenset({1, 77, 17})"
5472,0.05,"frozenset({1, 82, 17})"
5473,0.05,"frozenset({96, 1, 17})"
5474,0.07,"frozenset({1, 17, 97})"
5475,0.06,"frozenset({1, 99, 17})"
5476,0.05,"frozenset({1, 18, 22})"
5477,0.06,"frozenset({1, 18, 34})"
5478,0.05,"frozenset({1, 18, 44})"
5479,0.06,"frozenset({1, 18, 55})"
5480,0.05,"frozenset({1, 18, 69})"
5481,0.07,"frozenset({1, 18, 70})"
5482,0.05,"frozenset({1, 18, 71})"
5483,0.05,"frozenset({88, 1, 18})"
5484,0.05,"frozenset({1, 18, 94})"
5485,0.05,"frozenset({1, 18, 97})"
5486,0.05,"frozenset({1, 19, 20})"
5487,0.05,"frozenset({1, 19, 21})"
5488,0.05,"frozenset({24, 1, 19})"
5489,0.05,"frozenset({1, 19, 28})"
5490,0.06,"frozenset({1, 19, 31})"
5491,0.05,"frozenset({1, 19, 35})"
5492,0.05,"frozenset({1, 19, 37})"
5493,0.05,"frozenset({1, 42, 19})"
5494,0.06,"frozenset({1, 19, 43})"
5495,0.07,"frozenset({1, 19, 44})"
5496,0.07,"frozenset({1, 19, 47})"
5497,0.05,"frozenset({1, 19, 49})"
5498,0.05,"frozenset({1, 19, 52})"
5499,0.05,"frozenset({1, 19, 54})"
5500,0.06,"frozenset({1, 19, 55})"
5501,0.05,"frozenset({1, 58, 19})"
5502,0.08,"frozenset({1, 19, 59})"
5503,0.07,"frozenset({1, 19, 61})"
5504,0.05,"frozenset({1, 19, 62})"
5505,0.06,"frozenset({1, 19, 70})"
5506,0.05,"frozenset({1, 19, 71})"
5507,0.05,"frozenset({1, 74, 19})"
5508,0.06,"frozenset({1, 75, 19})"
5509,0.06,"frozenset({1, 19, 77})"
5510,0.05,"frozenset({80, 1, 19})"
5511,0.05,"frozenset({1, 19, 93})"
5512,0.06,"frozenset({96, 1, 19})"
5513,0.06,"frozenset({1, 19, 97})"
5514,0.05,"frozenset({1, 98, 19})"
5515,0.05,"frozenset({99, 1, 19})"
5516,0.05,"frozenset({1, 19, 100})"
5517,0.07,"frozenset({24, 1, 20})"
5518,0.05,"frozenset({1, 20, 25})"
5519,0.05,"frozenset({1, 26, 20})"
5520,0.05,"frozenset({1, 27, 20})"
5521,0.06,"frozenset({1, 20, 31})"
5522,0.06,"frozenset({1, 35, 20})"
5523,0.05,"frozenset({1, 20, 39})"
5524,0.06,"frozenset({40, 1, 20})"
5525,0.06,"frozenset({1, 42, 20})"
5526,0.08,"frozenset({1, 44, 20})"
5527,0.07,"frozenset({1, 20, 49})"
5528,0.06,"frozenset({1, 50, 20})"
5529,0.05,"frozenset({1, 58, 20})"
5530,0.05,"frozenset({1, 59, 20})"
5531,0.05,"frozenset({1, 20, 62})"
5532,0.05,"frozenset({1, 66, 20})"
5533,0.06,"frozenset({1, 75, 20})"
5534,0.05,"frozenset({1, 76, 20})"
5535,0.08,"frozenset({1, 20, 77})"
5536,0.05,"frozenset({1, 20, 86})"
5537,0.05,"frozenset({1, 20, 87})"
5538,0.05,"frozenset({88, 1, 20})"
5539,0.05,"frozenset({1, 90, 20})"
5540,0.07,"frozenset({1, 20, 93})"
5541,0.07,"frozenset({1, 20, 94})"
5542,0.06,"frozenset({1, 20, 97})"
5543,0.05,"frozenset({1, 99, 20})"
5544,0.06,"frozenset({1, 100, 20})"
5545,0.05,"frozenset({1, 28, 22})"
5546,0.05,"frozenset({1, 29, 22})"
5547,0.05,"frozenset({1, 22, 31})"
5548,0.05,"frozenset({1, 22, 33})"
5549,0.07,"frozenset({1, 34, 22})"
5550,0.06,"frozenset({1, 37, 22})"
5551,0.06,"frozenset({1, 44, 22})"
5552,0.07,"frozenset({1, 22, 47})"
5553,0.05,"frozenset({1, 52, 22})"
5554,0.06,"frozenset({1, 22, 55})"
5555,0.05,"frozenset({1, 58, 22})"
5556,0.05,"frozenset({1, 59, 22})"
5557,0.05,"frozenset({1, 60, 22})"
5558,0.05,"frozenset({1, 66, 22})"
5559,0.05,"frozenset({1, 68, 22})"
5560,0.06,"frozenset({1, 22, 71})"
5561,0.07,"frozenset({1, 77, 22})"
5562,0.05,"frozenset({1, 82, 22})"
5563,0.05,"frozenset({1, 84, 22})"
5564,0.05,"frozenset({1, 86, 22})"
5565,0.06,"frozenset({88, 1, 22})"
5566,0.05,"frozenset({1, 94, 22})"
5567,0.05,"frozenset({96, 1, 22})"
5568,0.06,"frozenset({1, 97, 22})"
5569,0.05,"frozenset({1, 98, 22})"
5570,0.05,"frozenset({1, 25, 23})"
5571,0.06,"frozenset({1, 29, 23})"
5572,0.05,"frozenset({1, 31, 23})"
5573,0.05,"frozenset({1, 23, 33})"
5574,0.06,"frozenset({40, 1, 23})"
5575,0.05,"frozenset({1, 44, 23})"
5576,0.05,"frozenset({1, 46, 23})"
5577,0.07,"frozenset({1, 23, 47})"
5578,0.05,"frozenset({1, 23, 49})"
5579,0.05,"frozenset({1, 51, 23})"
5580,0.05,"frozenset({1, 23, 55})"
5581,0.06,"frozenset({1, 58, 23})"
5582,0.08,"frozenset({1, 59, 23})"
5583,0.05,"frozenset({1, 67, 23})"
5584,0.05,"frozenset({1, 70, 23})"
5585,0.05,"frozenset({1, 23, 71})"
5586,0.05,"frozenset({1, 76, 23})"
5587,0.06,"frozenset({1, 84, 23})"
5588,0.06,"frozenset({1, 90, 23})"
5589,0.05,"frozenset({1, 93, 23})"
5590,0.06,"frozenset({96, 1, 23})"
5591,0.05,"frozenset({1, 99, 23})"
5592,0.07,"frozenset({1, 100, 23})"
5593,0.05,"frozenset({24, 1, 26})"
5594,0.06,"frozenset({24, 1, 27})"
5595,0.05,"frozenset({24, 1, 29})"
5596,0.1,"frozenset({24, 1, 31})"
5597,0.05,"frozenset({24, 1, 34})"
5598,0.05,"frozenset({24, 1, 35})"
5599,0.06,"frozenset({24, 1, 37})"
5600,0.05,"frozenset({24, 1, 38})"
5601,0.05,"frozenset({24, 1, 39})"
5602,0.07,"frozenset({40, 1, 24})"
5603,0.05,"frozenset({24, 1, 43})"
5604,0.05,"frozenset({24, 1, 44})"
5605,0.06,"frozenset({24, 1, 47})"
5606,0.06,"frozenset({24, 1, 50})"
5607,0.05,"frozenset({24, 1, 55})"
5608,0.07,"frozenset({24, 1, 58})"
5609,0.06,"frozenset({24, 1, 59})"
5610,0.06,"frozenset({24, 1, 61})"
5611,0.05,"frozenset({24, 1, 62})"
5612,0.05,"frozenset({24, 1, 67})"
5613,0.05,"frozenset({24, 1, 68})"
5614,0.05,"frozenset({24, 1, 69})"
5615,0.05,"frozenset({24, 1, 70})"
5616,0.05,"frozenset({24, 1, 71})"
5617,0.05,"frozenset({72, 1, 24})"
5618,0.08,"frozenset({24, 1, 77})"
5619,0.05,"frozenset({24, 1, 82})"
5620,0.06,"frozenset({24, 1, 86})"
5621,0.07,"frozenset({88, 1, 24})"
5622,0.06,"frozenset({24, 1, 93})"
5623,0.05,"frozenset({96, 1, 24})"
5624,0.06,"frozenset({24, 1, 97})"
5625,0.08,"frozenset({24, 1, 98})"
5626,0.05,"frozenset({24, 1, 100})"
5627,0.05,"frozenset({1, 27, 25})"
5628,0.06,"frozenset({1, 29, 25})"
5629,0.05,"frozenset({1, 25, 31})"
5630,0.05,"frozenset({1, 35, 25})"
5631,0.05,"frozenset({38, 1, 25})"
5632,0.07,"frozenset({40, 1, 25})"
5633,0.07,"frozenset({1, 42, 25})"
5634,0.06,"frozenset({1, 44, 25})"
5635,0.05,"frozenset({1, 25, 47})"
5636,0.08,"frozenset({1, 25, 49})"
5637,0.07,"frozenset({1, 50, 25})"
5638,0.05,"frozenset({1, 53, 25})"
5639,0.05,"frozenset({1, 25, 57})"
5640,0.06,"frozenset({1, 59, 25})"
5641,0.08,"frozenset({1, 61, 25})"
5642,0.06,"frozenset({62, 1, 25})"
5643,0.05,"frozenset({1, 25, 63})"
5644,0.05,"frozenset({64, 1, 25})"
5645,0.05,"frozenset({1, 69, 25})"
5646,0.05,"frozenset({1, 25, 70})"
5647,0.05,"frozenset({1, 74, 25})"
5648,0.05,"frozenset({1, 77, 25})"
5649,0.06,"frozenset({1, 25, 79})"
5650,0.05,"frozenset({1, 25, 86})"
5651,0.06,"frozenset({1, 90, 25})"
5652,0.05,"frozenset({1, 25, 94})"
5653,0.06,"frozenset({1, 25, 97})"
5654,0.05,"frozenset({1, 98, 25})"
5655,0.06,"frozenset({1, 99, 25})"
5656,0.08,"frozenset({1, 100, 25})"
5657,0.06,"frozenset({1, 26, 31})"
5658,0.05,"frozenset({1, 26, 34})"
5659,0.05,"frozenset({1, 26, 37})"
5660,0.06,"frozenset({40, 1, 26})"
5661,0.05,"frozenset({1, 26, 41})"
5662,0.08,"frozenset({1, 26, 58})"
5663,0.05,"frozenset({1, 26, 60})"
5664,0.05,"frozenset({1, 26, 63})"
5665,0.07,"frozenset({1, 26, 70})"
5666,0.06,"frozenset({1, 26, 75})"
5667,0.05,"frozenset({1, 26, 78})"
5668,0.05,"frozenset({81, 1, 26})"
5669,0.06,"frozenset({88, 1, 26})"
5670,0.05,"frozenset({89, 1, 26})"
5671,0.05,"frozenset({1, 26, 90})"
5672,0.05,"frozenset({1, 26, 94})"
5673,0.06,"frozenset({1, 26, 95})"
5674,0.08,"frozenset({1, 26, 98})"
5675,0.07,"frozenset({1, 27, 29})"
5676,0.05,"frozenset({1, 27, 31})"
5677,0.05,"frozenset({1, 27, 44})"
5678,0.05,"frozenset({1, 50, 27})"
5679,0.06,"frozenset({1, 27, 53})"
5680,0.06,"frozenset({1, 58, 27})"
5681,0.05,"frozenset({1, 27, 61})"
5682,0.06,"frozenset({1, 27, 69})"
5683,0.1,"frozenset({1, 27, 77})"
5684,0.05,"frozenset({1, 27, 78})"
5685,0.06,"frozenset({1, 27, 87})"
5686,0.06,"frozenset({88, 1, 27})"
5687,0.05,"frozenset({1, 27, 93})"
5688,0.05,"frozenset({1, 27, 94})"
5689,0.05,"frozenset({99, 1, 27})"
5690,0.05,"frozenset({1, 27, 100})"
5691,0.05,"frozenset({1, 28, 31})"
5692,0.05,"frozenset({1, 34, 28})"
5693,0.05,"frozenset({1, 42, 28})"
5694,0.06,"frozenset({1, 43, 28})"
5695,0.06,"frozenset({1, 28, 47})"
5696,0.05,"frozenset({1, 52, 28})"
5697,0.05,"frozenset({1, 59, 28})"
5698,0.06,"frozenset({1, 28, 77})"
5699,0.06,"frozenset({88, 1, 28})"
5700,0.06,"frozenset({1, 28, 97})"
5701,0.06,"frozenset({1, 98, 28})"
5702,0.05,"frozenset({1, 99, 28})"
5703,0.05,"frozenset({1, 29, 30})"
5704,0.07,"frozenset({1, 29, 31})"
5705,0.06,"frozenset({1, 29, 33})"
5706,0.08,"frozenset({40, 1, 29})"
5707,0.05,"frozenset({1, 42, 29})"
5708,0.05,"frozenset({1, 43, 29})"
5709,0.08,"frozenset({1, 44, 29})"
5710,0.07,"frozenset({1, 29, 47})"
5711,0.05,"frozenset({48, 1, 29})"
5712,0.06,"frozenset({1, 29, 57})"
5713,0.06,"frozenset({1, 58, 29})"
5714,0.06,"frozenset({1, 59, 29})"
5715,0.06,"frozenset({1, 61, 29})"
5716,0.05,"frozenset({1, 29, 62})"
5717,0.05,"frozenset({1, 29, 63})"
5718,0.05,"frozenset({64, 1, 29})"
5719,0.05,"frozenset({65, 1, 29})"
5720,0.05,"frozenset({1, 67, 29})"
5721,0.06,"frozenset({1, 69, 29})"
5722,0.05,"frozenset({1, 29, 70})"
5723,0.05,"frozenset({72, 1, 29})"
5724,0.05,"frozenset({73, 1, 29})"
5725,0.1,"frozenset({1, 77, 29})"
5726,0.05,"frozenset({1, 82, 29})"
5727,0.05,"frozenset({1, 83, 29})"
5728,0.06,"frozenset({88, 1, 29})"
5729,0.07,"frozenset({1, 90, 29})"
5730,0.05,"frozenset({1, 92, 29})"
5731,0.05,"frozenset({1, 29, 94})"
5732,0.07,"frozenset({1, 29, 97})"
5733,0.06,"frozenset({1, 99, 29})"
5734,0.07,"frozenset({1, 100, 29})"
5735,0.05,"frozenset({1, 30, 31})"
5736,0.05,"frozenset({1, 34, 30})"
5737,0.05,"frozenset({1, 37, 30})"
5738,0.05,"frozenset({1, 58, 30})"
5739,0.06,"frozenset({1, 61, 30})"
5740,0.05,"frozenset({1, 62, 30})"
5741,0.05,"frozenset({65, 1, 30})"
5742,0.05,"frozenset({1, 68, 30})"
5743,0.05,"frozenset({1, 70, 30})"
5744,0.06,"frozenset({1, 76, 30})"
5745,0.07,"frozenset({1, 77, 30})"
5746,0.05,"frozenset({1, 86, 30})"
5747,0.06,"frozenset({88, 1, 30})"
5748,0.05,"frozenset({96, 1, 30})"
5749,0.05,"frozenset({1, 97, 30})"
5750,0.05,"frozenset({32, 1, 31})"
5751,0.07,"frozenset({1, 34, 31})"
5752,0.06,"frozenset({1, 35, 31})"
5753,0.06,"frozenset({1, 37, 31})"
5754,0.06,"frozenset({1, 38, 31})"
5755,0.05,"frozenset({1, 31, 39})"
5756,0.06,"frozenset({40, 1, 31})"
5757,0.05,"frozenset({1, 31, 41})"
5758,0.07,"frozenset({1, 42, 31})"
5759,0.06,"frozenset({1, 43, 31})"
5760,0.08,"frozenset({1, 44, 31})"
5761,0.08,"frozenset({1, 31, 47})"
5762,0.06,"frozenset({1, 31, 49})"
5763,0.06,"frozenset({1, 50, 31})"
5764,0.05,"frozenset({1, 52, 31})"
5765,0.05,"frozenset({1, 31, 55})"
5766,0.06,"frozenset({1, 31, 57})"
5767,0.09,"frozenset({1, 58, 31})"
5768,0.08,"frozenset({1, 59, 31})"
5769,0.07,"frozenset({1, 60, 31})"
5770,0.09,"frozenset({1, 61, 31})"
5771,0.05,"frozenset({1, 31, 63})"
5772,0.06,"frozenset({64, 1, 31})"
5773,0.07,"frozenset({1, 66, 31})"
5774,0.07,"frozenset({1, 67, 31})"
5775,0.06,"frozenset({1, 68, 31})"
5776,0.08,"frozenset({1, 69, 31})"
5777,0.09,"frozenset({1, 70, 31})"
5778,0.06,"frozenset({1, 31, 71})"
5779,0.05,"frozenset({72, 1, 31})"
5780,0.07,"frozenset({73, 1, 31})"
5781,0.06,"frozenset({1, 74, 31})"
5782,0.06,"frozenset({1, 75, 31})"
5783,0.05,"frozenset({1, 76, 31})"
5784,0.08,"frozenset({1, 77, 31})"
5785,0.06,"frozenset({1, 78, 31})"
5786,0.06,"frozenset({1, 31, 79})"
5787,0.05,"frozenset({81, 1, 31})"
5788,0.05,"frozenset({1, 82, 31})"
5789,0.05,"frozenset({1, 84, 31})"
5790,0.06,"frozenset({1, 86, 31})"
5791,0.09,"frozenset({88, 1, 31})"
5792,0.05,"frozenset({89, 1, 31})"
5793,0.07,"frozenset({1, 90, 31})"
5794,0.05,"frozenset({1, 91, 31})"
5795,0.05,"frozenset({1, 93, 31})"
5796,0.06,"frozenset({96, 1, 31})"
5797,0.08,"frozenset({1, 97, 31})"
5798,0.08,"frozenset({1, 98, 31})"
5799,0.08,"frozenset({1, 99, 31})"
5800,0.07,"frozenset({1, 100, 31})"
5801,0.05,"frozenset({32, 1, 67})"
5802,0.05,"frozenset({32, 1, 71})"
5803,0.06,"frozenset({40, 1, 33})"
5804,0.06,"frozenset({1, 47, 33})"
5805,0.07,"frozenset({1, 58, 33})"
5806,0.05,"frozenset({1, 67, 33})"
5807,0.05,"frozenset({1, 68, 33})"
5808,0.06,"frozenset({1, 70, 33})"
5809,0.06,"frozenset({1, 71, 33})"
5810,0.06,"frozenset({72, 1, 33})"
5811,0.05,"frozenset({88, 1, 33})"
5812,0.05,"frozenset({1, 92, 33})"
5813,0.05,"frozenset({1, 93, 33})"
5814,0.06,"frozenset({1, 94, 33})"
5815,0.05,"frozenset({96, 1, 33})"
5816,0.06,"frozenset({1, 34, 35})"
5817,0.06,"frozenset({1, 34, 37})"
5818,0.05,"frozenset({1, 34, 39})"
5819,0.07,"frozenset({1, 34, 42})"
5820,0.08,"frozenset({1, 34, 43})"
5821,0.08,"frozenset({1, 34, 44})"
5822,0.05,"frozenset({1, 34, 46})"
5823,0.07,"frozenset({1, 34, 47})"
5824,0.07,"frozenset({48, 1, 34})"
5825,0.05,"frozenset({1, 34, 49})"
5826,0.06,"frozenset({1, 34, 50})"
5827,0.05,"frozenset({1, 34, 52})"
5828,0.05,"frozenset({1, 34, 53})"
5829,0.06,"frozenset({1, 34, 55})"
5830,0.05,"frozenset({1, 34, 58})"
5831,0.05,"frozenset({1, 34, 60})"
5832,0.06,"frozenset({1, 34, 61})"
5833,0.05,"frozenset({1, 34, 68})"
5834,0.06,"frozenset({1, 34, 69})"
5835,0.08,"frozenset({1, 34, 70})"
5836,0.05,"frozenset({72, 1, 34})"
5837,0.05,"frozenset({73, 1, 34})"
5838,0.05,"frozenset({1, 34, 75})"
5839,0.05,"frozenset({1, 34, 77})"
5840,0.06,"frozenset({1, 34, 82})"
5841,0.06,"frozenset({1, 34, 84})"
5842,0.06,"frozenset({1, 34, 86})"
5843,0.07,"frozenset({88, 1, 34})"
5844,0.07,"frozenset({1, 34, 93})"
5845,0.07,"frozenset({1, 34, 94})"
5846,0.05,"frozenset({1, 34, 97})"
5847,0.06,"frozenset({1, 34, 98})"
5848,0.05,"frozenset({1, 34, 100})"
5849,0.05,"frozenset({1, 35, 37})"
5850,0.05,"frozenset({40, 1, 35})"
5851,0.07,"frozenset({1, 35, 44})"
5852,0.08,"frozenset({1, 35, 49})"
5853,0.07,"frozenset({1, 50, 35})"
5854,0.06,"frozenset({1, 35, 53})"
5855,0.05,"frozenset({1, 35, 60})"
5856,0.06,"frozenset({1, 35, 61})"
5857,0.05,"frozenset({1, 75, 35})"
5858,0.06,"frozenset({1, 35, 77})"
5859,0.05,"frozenset({81, 1, 35})"
5860,0.05,"frozenset({1, 35, 86})"
5861,0.05,"frozenset({1, 90, 35})"
5862,0.08,"frozenset({1, 35, 93})"
5863,0.07,"frozenset({1, 35, 94})"
5864,0.06,"frozenset({1, 35, 97})"
5865,0.05,"frozenset({1, 35, 100})"
5866,0.05,"frozenset({40, 1, 36})"
5867,0.07,"frozenset({1, 36, 47})"
5868,0.05,"frozenset({1, 36, 57})"
5869,0.06,"frozenset({1, 58, 36})"
5870,0.05,"frozenset({1, 36, 79})"
5871,0.05,"frozenset({89, 1, 36})"
5872,0.05,"frozenset({96, 1, 36})"
5873,0.05,"frozenset({1, 98, 36})"
5874,0.08,"frozenset({40, 1, 37})"
5875,0.06,"frozenset({1, 42, 37})"
5876,0.05,"frozenset({1, 44, 37})"
5877,0.05,"frozenset({1, 37, 47})"
5878,0.06,"frozenset({48, 1, 37})"
5879,0.06,"frozenset({1, 37, 49})"
5880,0.07,"frozenset({1, 50, 37})"
5881,0.06,"frozenset({1, 53, 37})"
5882,0.07,"frozenset({1, 37, 55})"
5883,0.06,"frozenset({1, 59, 37})"
5884,0.06,"frozenset({1, 61, 37})"
5885,0.05,"frozenset({1, 66, 37})"
5886,0.05,"frozenset({1, 67, 37})"
5887,0.05,"frozenset({1, 37, 70})"
5888,0.05,"frozenset({1, 37, 71})"
5889,0.07,"frozenset({73, 1, 37})"
5890,0.06,"frozenset({1, 74, 37})"
5891,0.05,"frozenset({1, 75, 37})"
5892,0.06,"frozenset({1, 76, 37})"
5893,0.07,"frozenset({1, 77, 37})"
5894,0.05,"frozenset({81, 1, 37})"
5895,0.05,"frozenset({1, 82, 37})"
5896,0.05,"frozenset({1, 37, 86})"
5897,0.06,"frozenset({1, 93, 37})"
5898,0.06,"frozenset({1, 37, 94})"
5899,0.06,"frozenset({1, 37, 95})"
5900,0.07,"frozenset({96, 1, 37})"
5901,0.05,"frozenset({1, 37, 97})"
5902,0.05,"frozenset({1, 98, 37})"
5903,0.06,"frozenset({1, 99, 37})"
5904,0.06,"frozenset({1, 50, 38})"
5905,0.07,"frozenset({1, 61, 38})"
5906,0.05,"frozenset({1, 38, 71})"
5907,0.05,"frozenset({1, 98, 38})"
5908,0.07,"frozenset({1, 44, 39})"
5909,0.06,"frozenset({1, 39, 47})"
5910,0.05,"frozenset({1, 39, 49})"
5911,0.06,"frozenset({1, 50, 39})"
5912,0.06,"frozenset({1, 39, 55})"
5913,0.06,"frozenset({1, 66, 39})"
5914,0.06,"frozenset({1, 69, 39})"
5915,0.07,"frozenset({1, 70, 39})"
5916,0.05,"frozenset({72, 1, 39})"
5917,0.05,"frozenset({1, 74, 39})"
5918,0.05,"frozenset({1, 90, 39})"
5919,0.05,"frozenset({1, 94, 39})"
5920,0.05,"frozenset({1, 99, 39})"
5921,0.06,"frozenset({40, 1, 42})"
5922,0.05,"frozenset({40, 1, 43})"
5923,0.07,"frozenset({40, 1, 44})"
5924,0.05,"frozenset({40, 1, 46})"
5925,0.06,"frozenset({40, 1, 47})"
5926,0.07,"frozenset({48, 1, 40})"
5927,0.06,"frozenset({40, 1, 49})"
5928,0.06,"frozenset({40, 1, 50})"
5929,0.05,"frozenset({40, 1, 52})"
5930,0.05,"frozenset({40, 1, 53})"
5931,0.05,"frozenset({56, 1, 40})"
5932,0.05,"frozenset({40, 1, 57})"
5933,0.07,"frozenset({40, 1, 58})"
5934,0.06,"frozenset({40, 1, 59})"
5935,0.06,"frozenset({40, 1, 61})"
5936,0.06,"frozenset({40, 1, 62})"
5937,0.06,"frozenset({64, 1, 40})"
5938,0.06,"frozenset({40, 1, 67})"
5939,0.07,"frozenset({40, 1, 70})"
5940,0.05,"frozenset({40, 1, 71})"
5941,0.05,"frozenset({73, 1, 40})"
5942,0.06,"frozenset({40, 1, 74})"
5943,0.06,"frozenset({40, 1, 75})"
5944,0.06,"frozenset({40, 1, 76})"
5945,0.08,"frozenset({40, 1, 77})"
5946,0.05,"frozenset({40, 1, 79})"
5947,0.05,"frozenset({80, 1, 40})"
5948,0.05,"frozenset({40, 1, 82})"
5949,0.05,"frozenset({40, 1, 84})"
5950,0.07,"frozenset({40, 1, 86})"
5951,0.05,"frozenset({40, 1, 87})"
5952,0.08,"frozenset({40, 1, 90})"
5953,0.05,"frozenset({40, 1, 91})"
5954,0.05,"frozenset({40, 1, 92})"
5955,0.08,"frozenset({40, 1, 93})"
5956,0.07,"frozenset({40, 1, 94})"
5957,0.05,"frozenset({40, 1, 95})"
5958,0.07,"frozenset({96, 1, 40})"
5959,0.06,"frozenset({40, 1, 97})"
5960,0.06,"frozenset({40, 1, 98})"
5961,0.06,"frozenset({40, 1, 99})"
5962,0.06,"frozenset({40, 1, 100})"
5963,0.07,"frozenset({1, 58, 41})"
5964,0.06,"frozenset({1, 42, 43})"
5965,0.06,"frozenset({1, 42, 44})"
5966,0.06,"frozenset({48, 1, 42})"
5967,0.08,"frozenset({1, 42, 49})"
5968,0.05,"frozenset({1, 42, 51})"
5969,0.06,"frozenset({1, 42, 52})"
5970,0.06,"frozenset({1, 42, 53})"
5971,0.05,"frozenset({1, 42, 55})"
5972,0.07,"frozenset({1, 42, 59})"
5973,0.05,"frozenset({1, 42, 60})"
5974,0.07,"frozenset({1, 42, 61})"
5975,0.06,"frozenset({1, 42, 63})"
5976,0.05,"frozenset({1, 42, 67})"
5977,0.06,"frozenset({1, 42, 70})"
5978,0.07,"frozenset({73, 1, 42})"
5979,0.05,"frozenset({1, 42, 74})"
5980,0.06,"frozenset({1, 42, 77})"
5981,0.05,"frozenset({1, 42, 83})"
5982,0.07,"frozenset({88, 1, 42})"
5983,0.05,"frozenset({1, 42, 93})"
5984,0.05,"frozenset({1, 42, 94})"
5985,0.06,"frozenset({1, 42, 97})"
5986,0.06,"frozenset({1, 42, 98})"
5987,0.07,"frozenset({1, 42, 99})"
5988,0.06,"frozenset({1, 42, 100})"
5989,0.05,"frozenset({1, 43, 44})"
5990,0.07,"frozenset({1, 43, 46})"
5991,0.08,"frozenset({1, 43, 47})"
5992,0.05,"frozenset({48, 1, 43})"
5993,0.05,"frozenset({1, 43, 52})"
5994,0.05,"frozenset({1, 43, 54})"
5995,0.06,"frozenset({1, 43, 59})"
5996,0.05,"frozenset({1, 43, 61})"
5997,0.05,"frozenset({1, 67, 43})"
5998,0.05,"frozenset({1, 43, 68})"
5999,0.05,"frozenset({1, 43, 70})"
6000,0.05,"frozenset({1, 74, 43})"
6001,0.05,"frozenset({1, 43, 77})"
6002,0.05,"frozenset({88, 1, 43})"
6003,0.05,"frozenset({1, 43, 93})"
6004,0.06,"frozenset({1, 98, 43})"
6005,0.06,"frozenset({1, 44, 46})"
6006,0.08,"frozenset({1, 44, 47})"
6007,0.05,"frozenset({48, 1, 44})"
6008,0.08,"frozenset({1, 44, 49})"
6009,0.1,"frozenset({1, 50, 44})"
6010,0.05,"frozenset({1, 51, 44})"
6011,0.07,"frozenset({1, 52, 44})"
6012,0.05,"frozenset({1, 44, 53})"
6013,0.05,"frozenset({1, 44, 55})"
6014,0.05,"frozenset({1, 44, 57})"
6015,0.07,"frozenset({1, 58, 44})"
6016,0.05,"frozenset({1, 59, 44})"
6017,0.05,"frozenset({1, 60, 44})"
6018,0.06,"frozenset({1, 44, 61})"
6019,0.05,"frozenset({64, 1, 44})"
6020,0.05,"frozenset({65, 1, 44})"
6021,0.06,"frozenset({1, 66, 44})"
6022,0.06,"frozenset({1, 67, 44})"
6023,0.06,"frozenset({1, 68, 44})"
6024,0.08,"frozenset({1, 44, 69})"
6025,0.09,"frozenset({1, 44, 70})"
6026,0.06,"frozenset({72, 1, 44})"
6027,0.06,"frozenset({73, 1, 44})"
6028,0.07,"frozenset({1, 74, 44})"
6029,0.08,"frozenset({1, 75, 44})"
6030,0.05,"frozenset({1, 76, 44})"
6031,0.09,"frozenset({1, 44, 77})"
6032,0.06,"frozenset({80, 1, 44})"
6033,0.08,"frozenset({1, 82, 44})"
6034,0.05,"frozenset({1, 83, 44})"
6035,0.05,"frozenset({1, 44, 86})"
6036,0.05,"frozenset({88, 1, 44})"
6037,0.09,"frozenset({1, 90, 44})"
6038,0.05,"frozenset({1, 91, 44})"
6039,0.05,"frozenset({1, 92, 44})"
6040,0.07,"frozenset({1, 44, 93})"
6041,0.08,"frozenset({1, 44, 94})"
6042,0.07,"frozenset({96, 1, 44})"
6043,0.09,"frozenset({1, 44, 97})"
6044,0.06,"frozenset({1, 99, 44})"
6045,0.08,"frozenset({1, 100, 44})"
6046,0.05,"frozenset({1, 76, 45})"
